tconst	averageRating	numVotes
tt0403780	6.4	26
tt0403806	8.0	903
tt0403813	5.7	419
tt0404231	7.8	48
tt0404580	4.7	49
tt0407361	7.6	152
tt0407377	6.6	687
tt0407411	5.6	70
tt0407419	5.1	14
tt0407423	7.6	879
tt0407424	7.6	284
tt0407443	7.4	11
tt0409571	8.7	309
tt0409586	2.8	24
tt0409628	8.2	9
tt0413579	4.4	11
tt0414740	4.7	704
tt0414777	8.7	1142
tt0414783	7.5	227
tt0415421	7.9	98
tt0416389	7.5	28
tt0417331	6.0	252
tt0417355	6.8	8
tt0419314	7.2	176
tt0419321	5.2	38
tt0419326	7.6	25673
tt0419336	6.2	393
tt0419353	2.1	111
tt0420382	4.7	79
tt0420462	4.7	22
tt0420472	4.6	215
tt0421452	8.9	31
tt0421453	5.8	13
tt0421463	6.3	2149
tt0421485	8.0	96
tt0423668	7.0	5286
tt0423713	2.7	616
tt0423770	7.0	28
tt0424586	8.0	69
tt0424691	7.4	67
tt0425724	7.7	116
tt0426379	6.8	11
tt0428169	2.9	420
tt0429290	6.8	36
tt0429312	4.7	13
tt0429318	5.4	5238
tt0429336	3.4	69
tt0429345	5.2	26
tt0429384	6.9	264
tt0429466	8.0	1286
tt0430809	8.1	124
tt0430836	2.7	689
tt0430854	6.8	237
tt0431501	4.5	87
tt0431533	8.1	71
tt0433512	5.1	250
tt0433735	5.4	133
tt0434676	4.3	606
tt0434695	8.5	6296
tt0434733	7.3	194
tt0437005	7.2	23519
tt0437745	7.7	47383
tt0437761	8.2	51
tt0439344	7.1	91
tt0439369	5.2	11
tt0439389	2.7	207
tt0439408	8.7	27
tt0439907	6.9	84
tt0439979	6.3	148
tt0441074	8.0	96
tt0441955	7.3	63
tt0442646	5.3	420
tt0442716	7.3	193
tt0445103	7.0	14
tt0445111	8.4	12
tt0445120	5.3	245
tt0445912	7.8	3281
tt0446224	1.3	1699
tt0446809	7.8	9539
tt0447779	5.5	32
tt0447804	6.4	7
tt0448300	7.9	1200
tt0448878	5.9	50
tt0449696	6.3	15
tt0451467	4.1	20
tt0451509	5.4	33
tt0452563	6.3	46
tt0454349	5.4	10212
tt0454730	5.0	48
tt0456773	7.7	50
tt0457219	7.7	64
tt0460354	7.0	95
tt0460363	6.5	19
tt0460379	8.2	422
tt0460681	8.4	505716
tt0461444	6.6	32
tt0462139	7.9	5264
tt0463397	3.5	186
tt0463802	5.2	19
tt0463824	2.2	262
tt0463833	6.0	33
tt0464852	6.9	17
tt0465320	3.3	106
tt0465682	7.0	328
tt0465774	6.6	2518
tt0465857	7.6	45
tt0466603	7.8	26
tt0466622	7.3	276
tt0470019	6.2	35
tt0470108	8.4	14
tt0470977	5.5	287
tt0472027	8.4	38038
tt0472642	5.6	487
tt0472970	4.6	107
tt0472989	6.5	2661
tt0473428	6.3	22
tt0473580	3.5	120
tt0473585	4.2	91
tt0475209	4.3	643
tt0475913	6.8	35
tt0476038	3.4	798
tt0476625	5.8	28
tt0476926	2.3	501
tt0477551	7.7	26
tt0479321	6.8	31
tt0479336	3.5	213
tt0479832	6.2	95
tt0479846	3.7	690
tt0479992	4.9	20
tt0480313	3.9	27
tt0481033	6.4	1140
tt0481305	8.2	42
tt0482346	3.6	246
tt0482856	6.3	182
tt0484241	3.8	120
tt0484535	8.6	17
tt0484918	2.0	276
tt0486232	5.4	84
tt0486535	4.6	102
tt0487858	7.9	137
tt0491602	6.7	7
tt0492430	3.4	1366
tt0493184	3.1	115
tt0493232	6.4	112
tt0493330	5.9	204
tt0497079	4.4	4334
tt0497156	4.1	212
tt0498878	7.8	2439
tt0498891	4.1	76
tt0499394	7.8	81
tt0502217	8.7	1448
tt0503520	8.0	56
tt0504193	6.9	302
tt0505115	7.2	55
tt0505567	8.2	18
tt0512315	6.6	148
tt0518912	7.3	71
tt0526946	6.5	24
tt0535380	7.6	15
tt0553250	7.1	106
tt0554497	8.0	8
tt0556188	6.3	130
tt0557406	8.1	333
tt0578506	7.8	771
tt0584001	7.7	172
tt0585821	8.5	246
tt0588110	7.0	265
tt0591313	7.3	60
tt0593130	8.5	164
tt0600721	7.3	46
tt0602675	7.8	10
tt0609074	7.3	235
tt0611644	7.7	949
tt0612096	8.3	33
tt0614224	7.7	26
tt0617005	7.3	11
tt0640881	8.2	14
tt0641646	8.1	131
tt0644312	7.0	76
tt0654343	6.1	49
tt0655139	7.5	54
tt0656750	8.7	98
tt0667811	6.7	539
tt0667940	6.5	428
tt0670257	7.9	88
tt0673329	7.8	371
tt0676618	7.8	7
tt0678755	7.9	13
tt0680530	5.6	51
tt0694149	6.8	144
tt0694853	5.6	91
tt0701284	7.6	2475
tt0702931	7.2	1353
tt0708514	7.5	2443
tt0709841	7.3	11
tt0720357	8.1	18
tt0720463	7.5	127
tt0732051	7.4	52
tt0733636	7.2	44
tt0738674	9.8	111
tt0742431	8.2	13
tt0752073	7.1	11
tt0757458	7.6	20
