tconst	parentTconst	seasonNumber	episodeNumber
tt8420644	tt8290658	1.0	13.0
tt12840978	tt0419336	15.0	21.0
tt6992750	tt0887237		
tt21159042	tt4770018	8.0	23.0
tt10834574	tt0297639	6.0	13.0
tt8600300	tt8591668	1.0	15.0
tt20240614	tt0439389	1.0	3374.0
tt2141774	tt0375374		
tt12461370	tt12384448	1.0	7.0
tt22259624	tt0219436	1.0	555.0
tt26901939	tt0224886	1.0	54.0
tt31021259	tt5570598		
tt5939984	tt0907605	1.0	3.0
tt9484530	tt1450737	1.0	1227.0
tt0644312	tt0068103	2.0	7.0
tt19395176	tt0775367	22.0	9.0
tt2545572	tt2198375	1.0	1.0
tt26910555	tt26336930		
tt2556846	tt2359772	1.0	58.0
tt28212592	tt0415421		
tt9896044	tt0115415	1.0	120.0
tt27868674	tt1369743		
tt6820892	tt6813808	1.0	6.0
tt8986160	tt8652786	19.0	1.0
tt12104370	tt12011496	1.0	3.0
tt32249349	tt10128122	1.0	3.0
tt0612096	tt0220238	2.0	17.0
tt27330132	tt3612488	8.0	54.0
tt11556170	tt11510140		
tt1337758	tt0065272	1.0	9990.0
tt7442568	tt6814630	1.0	1011.0
tt17718584	tt0434733	1.0	8050.0
tt21888464	tt21883128	1.0	2502.0
tt10977538	tt8996230	1.0	1529.0
tt7897788	tt0185819	1.0	3310.0
tt9164872	tt10322964		
tt29090070	tt29079494	1.0	2152.0
tt11636052	tt4210188	1.0	68.0
tt29135147	tt2389428	15.0	103.0
tt8693476	tt8502676	1.0	3.0
tt3944048	tt1985601	1.0	6994.0
tt6114602	tt0068069	1.0	7642.0
tt13452880	tt0465857	23.0	10.0
tt7210676	tt6098952	3.0	61.0
tt7195726	tt2146563	1.0	135.0
tt0798605	tt0108975	5.0	1.0
tt15922056	tt15899988		
tt10502574	tt8710622	1.0	24.0
tt0717536	tt0053543	1.0	3.0
tt0733862	tt0159187	7.0	5.0
tt16548870	tt15509668	1.0	76.0
tt35887361	tt13971732	10.0	44.0
tt13809056	tt13801590	1.0	15.0
tt30802242	tt4841390	16.0	56.0
tt6836368	tt0072584	34.0	165.0
tt8075514	tt6397930		
tt10538152	tt8306978	1.0	200.0
tt3094644	tt1095213		
tt13954458	tt4741930	1.0	290.0
tt34092993	tt12587340	1.0	1166.0
tt5909992	tt0389608	1.0	2.0
tt1648634	tt1020922	4.0	11.0
tt7253804	tt0224830	3.0	27.0
tt29080767	tt29079494	1.0	257.0
tt19119016	tt0315719	13.0	13.0
