id,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
159,tt0103487,tvSeries,Marienhof,Marienhof,0.0,1992.0,2011.0,50,Drama
160,tt0103569,tvSeries,The Tonight Show with Jay Leno,The Tonight Show with Jay Leno,0.0,1992.0,2014.0,62,"Comedy,Music,Talk-Show"
161,tt0105950,tvSeries,Beavis and Butt-Head,Beavis and Butt-Head,0.0,1993.0,2011.0,15,"Animation,Comedy,Music"
162,tt0106038,tvSeries,John & Leeza from Hollywood,John & Leeza from Hollywood,0.0,1993.0,1994.0,,Talk-Show
163,tt0106052,tvSeries,Late Night with Conan O'Brien,Late Night with Conan O'Brien,0.0,1993.0,2009.0,60,"Comedy,Music,Talk-Show"
164,tt0106053,tvSeries,Late Show with David Letterman,Late Show with David Letterman,0.0,1993.0,2015.0,60,"Comedy,Music,Talk-Show"
165,tt0106090,tvSeries,Onderweg naar morgen,Onderweg naar morgen,0.0,1994.0,2010.0,,Drama
166,tt0106145,tvSeries,Star Trek: Deep Space Nine,Star Trek: Deep Space Nine,0.0,1993.0,1999.0,45,"Action,Adventure,Drama"
167,tt0106172,tvSeries,Where in the World Is Carmen Sandiego?,Where in the World Is Carmen Sandiego?,0.0,1991.0,1996.0,30,"Comedy,Family,Game-Show"
168,tt0108685,tvSeries,The Adventures of Dudley the Dragon,The Adventures of Dudley the Dragon,0.0,1994.0,,30,"Family,Fantasy"
169,tt0108757,tvSeries,ER,ER,0.0,1994.0,2009.0,44,"Drama,Romance"
170,tt0108783,tvSeries,Gargoyles,Gargoyles,0.0,1994.0,1997.0,30,"Action,Adventure,Animation"
171,tt0108810,tvSeries,In the Name of the Law,Im Namen des Gesetzes,0.0,1994.0,2008.0,45,"Crime,Drama"
172,tt0108821,tvSeries,Jenny Jones,Jenny Jones,0.0,1991.0,2003.0,60,"Drama,Talk-Show"
173,tt0108894,tvSeries,Party of Five,Party of Five,0.0,1994.0,2000.0,60,"Drama,Family"
174,tt0108968,tvSeries,Touched by an Angel,Touched by an Angel,0.0,1994.0,2003.0,60,"Drama,Family,Fantasy"
175,tt0108975,tvSeries,Unser Lehrer Doktor Specht,Unser Lehrer Doktor Specht,0.0,1992.0,1999.0,90,"Drama,Family"
176,tt0108977,tvSeries,Between Us,Unter uns,0.0,1994.0,,25,"Drama,Romance"
177,tt0108979,tvSeries,Verbotene Liebe,Verbotene Liebe,0.0,1995.0,2015.0,45,"Drama,Romance"
178,tt0108993,tvMiniSeries,A Year in Provence,A Year in Provence,0.0,1993.0,1993.0,360,"Biography,Comedy,Drama"
179,tt0111912,tvSeries,Castles,Castles,0.0,1995.0,1995.0,30,Drama
180,tt0111920,tvSeries,Cinema 3,Cinema 3,0.0,1984.0,2016.0,,News
181,tt0111921,tvSeries,The City,The City,0.0,1995.0,1997.0,30,"Drama,Romance"
182,tt0111958,tvSeries,Father Ted,Father Ted,0.0,1995.0,1998.0,25,Comedy
183,tt0112028,tvSeries,Saint Tail,Kaitou Saint Tail,0.0,1995.0,1996.0,20,"Adventure,Animation,Romance"
184,tt0112044,tvSeries,Die Harald Schmidt Show,Die Harald Schmidt Show,0.0,1995.0,2004.0,60,"Comedy,Talk-Show"
185,tt0112052,tvSeries,London Bridge,London Bridge,0.0,1995.0,1999.0,25,Drama
186,tt0112071,tvSeries,Metal Fighter Miku,Metal Fighter Miku,0.0,1994.0,1994.0,25,"Animation,Comedy,Sci-Fi"
187,tt0112082,tvSeries,"Montaña rusa, otra vuelta","Montaña rusa, otra vuelta",0.0,1996.0,1996.0,60,"Comedy,Drama,Romance"
188,tt0112111,tvSeries,The Outer Limits,The Outer Limits,0.0,1995.0,2002.0,44,"Drama,Fantasy,Horror"
189,tt0112113,tvSeries,Pacific Drive,Pacific Drive,0.0,1996.0,1997.0,45,Drama
190,tt0115092,tvSeries,Alle zusammen - Jeder für sich,Alle zusammen - Jeder für sich,0.0,1996.0,1997.0,25,
191,tt0115147,tvSeries,The Daily Show,The Daily Show,0.0,1996.0,,22,"Comedy,News,Talk-Show"
192,tt0115227,tvSeries,Judge Judy,Judge Judy,0.0,1996.0,2021.0,30,"Comedy,Crime,Reality-TV"
193,tt0115267,tvSeries,Menudo es mi padre,Menudo es mi padre,0.0,1996.0,1998.0,,"Comedy,Drama"
194,tt0115286,tvSeries,Never Mind the Buzzcocks,Never Mind the Buzzcocks,0.0,1996.0,2024.0,30,"Comedy,Game-Show,Music"
195,tt0115299,tvSeries,Nós os Ricos,Nós os Ricos,0.0,1996.0,1999.0,,Comedy
196,tt0115338,tvSeries,The Rosie O'Donnell Show,The Rosie O'Donnell Show,0.0,1996.0,2002.0,60,"Comedy,Talk-Show"
197,tt0115347,tvSeries,Schloßhotel Orth,Schloßhotel Orth,0.0,1996.0,,45,Drama
198,tt0115370,tvSeries,Springhill,Springhill,0.0,1996.0,1997.0,30,"Drama,Fantasy"
199,tt0115381,tvSeries,El súper,El súper,0.0,1996.0,1999.0,,
200,tt0115415,tvSeries,Vänner och fiender,Vänner och fiender,0.0,1996.0,2000.0,,Drama
201,tt0117367,tvSeries,Un posto al sole,Un posto al sole,0.0,1996.0,,,Drama
202,tt0118322,tvSeries,You Wish,You Wish,0.0,1997.0,1998.0,30,"Comedy,Family,Fantasy"
203,tt0118366,tvSeries,Jô Soares Onze e Meia,Jô Soares Onze e Meia,0.0,1989.0,1998.0,,Talk-Show
